"Qty";"Value";"Device";"Package";"Parts";"Description";"COLOR";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POWER";"SPICEMODEL";"SPICEPREFIX";"STUFF";
"1";"";"CONN_05";"1X05";"J0210";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"4";"";"PINHD-1X3";"1X03";"J8, J0206, J0208, J0209";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"1";"";"S2A";"DO214AA";"D301";"S2A - S2M General Purpose Rectifiers";"";"Fairchild";"S2A";"1467485";"58K2391";"";"";"";"";
"2";"0";"R-US_M0805";"M0805";"R103, R104";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"0";"R-US_M0805";"M0805";"R201";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"NO STUFF";
"1";"0.01";"R-US_R2512";"R2512";"R307";"RESISTOR, American symbol";"";"";"";"";"";"2W";"";"";"";
"3";"0.1uF";"C-EUC0805";"C0805";"C208, C213, C302";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"3";"100";"R-US_M0805";"M0805";"R301, R304, R305";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"100k";"R-US_M0805";"M0805";"R100";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"10k";"R-US_M0805";"M0805";"R101";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"10k";"R-US_M0805";"M0805";"R202";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"NO STUFF";
"1";"10nF";"C-EUC0805";"C0805";"C209";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"5";"10uF";"CC1206";"C1206";"C204, C205, C207, C210, C211";"CAPACITOR, European symbol";"";"";"";"";"";"";"NONE";"C";"";
"4";"150";"R-US_M0805";"M0805";"R401, R402, R403, R407";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"165";"R-US_M0805";"M0805";"R406";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"1uF";"C-EUC0805";"C0805";"C206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"4";"2.2k";"R-US_M0805";"M0805";"R102, R302, R303, R306";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"2";"300";"R-US_M0805";"M0805";"R404, R405";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"3";"47uF";"CPOL-USE2-5";"E2-5";"C201, C202, C203";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"ARDUINO_NANO";"ARDUINO_NANO";"ARDUINO_NANO";"U2";"";"";"";"";"";"";"";"";"";"";
"1";"B+";"MOUNT-HOLE-2.5MM";"MOUNT-HOLE-2.5MM";"H1";"Mount hole, 2.5mm inner diameter. Fits 14awg wiring great, 16awg a bit tight. Used in MOSFET board kit v1.2.";"";"";"";"";"";"";"";"";"";
"1";"B-";"MOUNT-HOLE-2.5MM";"MOUNT-HOLE-2.5MM";"H2";"Mount hole, 2.5mm inner diameter. Fits 14awg wiring great, 16awg a bit tight. Used in MOSFET board kit v1.2.";"";"";"";"";"";"";"";"";"";
"1";"CYCLE CONTROL";"JST-XH-02-PIN-LONG-PAD";"JST-XH-02-PACKAGE-LONG-PAD";"J5";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";
"1";"IFX1763XEJV50";"IFX1763XEJV50";"PG-DSO-8";"U201";"IFX1763XEJV50";"";"";"";"";"";"";"";"";"";
"2";"LTST-C170AKT";"LEDCHIPLED_0805";"CHIPLED_0805";"DS404, DS405";"LED";"ORANGE";"";"";"";"";"";"";"";"";
"3";"LTST-C171GKT";"LEDCHIPLED_0805";"CHIPLED_0805";"DS401, DS402, DS403";"LED";"GREEN";"";"";"";"";"";"";"";"";
"1";"LTST-C171KSKT";"LEDCHIPLED_0805";"CHIPLED_0805";"DS407";"LED";"YELLOW";"";"";"";"";"";"";"";"";
"1";"LTST-C171TBKT";"LEDCHIPLED_0805";"CHIPLED_0805";"DS406";"LED";"BLUE";"";"";"";"";"";"";"";"";
"3";"M+";"MOUNT-HOLE-2.5MM";"MOUNT-HOLE-2.5MM";"H3, H4, H0301";"Mount hole, 2.5mm inner diameter. Fits 14awg wiring great, 16awg a bit tight. Used in MOSFET board kit v1.2.";"";"";"";"";"";"";"";"";"";
"1";"M-";"MOUNT-HOLE-2.5MM";"MOUNT-HOLE-2.5MM";"H308";"Mount hole, 2.5mm inner diameter. Fits 14awg wiring great, 16awg a bit tight. Used in MOSFET board kit v1.2.";"";"";"";"";"";"";"";"";"";
"1";"POT";"JST-XH-03-PIN-LONG-PAD";"JST-XH-03-PACKAGE-LONG-PAD";"J3";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";
"1";"POWER";"JST-XH-02-PIN-LONG-PAD";"JST-XH-02-PACKAGE-LONG-PAD";"J2";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";
"1";"PSMN1R5-30YLC";"PSMN1R5-30YLC";"TO127P600X120-5N";"Q303";"PSMN1R5-30YLC";"";"";"";"";"";"";"";"";"";
"1";"PUSHER MECH SEL";"CONN_02";"1X02";"J7";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"1";"SELECT FIRE";"JST-XH-05-PIN-LONG-PAD";"JST-XH-05-PACKAGE-LONG-PAD";"J6";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";
"1";"SSM3J358RLFCT-ND";"MOSFET-P-SOT23";"SOT-23";"Q302";"P-Channel MOSFET with integrated body diode";"";"";"";"";"";"";"";"";"";
"1";"T2N7002AK";"MOSFET-NREFLOW";"SOT23";"Q301";"N-Channel Mosfet";"";"";"";"";"";"";"";"";"";
"1";"TRIGGER";"JST-XH-02-PIN-LONG-PAD";"JST-XH-02-PACKAGE-LONG-PAD";"J4";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";
"2";"UNPLATED_MOUNT_HOLE_3MM";"UNPLATED_MOUNT_HOLE_3MM";"UNPLATED_MOUNT_HOLE_3MM";"H0205, H0206";"Unplated mount hole for Nerf Screws with 3mm (118.11 mill) diameter. Good if used near components that will be hand soldered so solder can't get on hole's copper plating";"";"";"";"";"";"";"";"";"";
