"Part";"Value";"Device";"Package";"Description";"COLOR";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POWER";"SPICEMODEL";"SPICEPREFIX";"STUFF";
"C201";"47uF";"CPOL-USE2-5";"E2-5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C202";"47uF";"CPOL-USE2-5";"E2-5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C203";"47uF";"CPOL-USE2-5";"E2-5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C204";"10uF";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"NONE";"C";"";
"C205";"10uF";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"NONE";"C";"";
"C206";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"C207";"10uF";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"NONE";"C";"";
"C208";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"C209";"10nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"C210";"10uF";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"NONE";"C";"";
"C211";"10uF";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"NONE";"C";"";
"C213";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"C302";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"D301";"";"S2A";"DO214AA";"S2A - S2M General Purpose Rectifiers";"";"Fairchild";"S2A";"1467485";"58K2391";"";"";"";"";
"DS401";"LTST-C171GKT";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"GREEN";"";"";"";"";"";"";"";"";
"DS402";"LTST-C171GKT";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"GREEN";"";"";"";"";"";"";"";"";
"DS403";"LTST-C171GKT";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"GREEN";"";"";"";"";"";"";"";"";
"DS404";"LTST-C170AKT";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"ORANGE";"";"";"";"";"";"";"";"";
"DS405";"LTST-C170AKT";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"ORANGE";"";"";"";"";"";"";"";"";
"DS406";"LTST-C171TBKT";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"BLUE";"";"";"";"";"";"";"";"";
"DS407";"LTST-C171KSKT";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"YELLOW";"";"";"";"";"";"";"";"";
"H1";"B+";"MOUNT-HOLE-2.5MM";"MOUNT-HOLE-2.5MM";"Mount hole, 2.5mm inner diameter. Fits 14awg wiring great, 16awg a bit tight. Used in MOSFET board kit v1.2.";"";"";"";"";"";"";"";"";"";
"H2";"B-";"MOUNT-HOLE-2.5MM";"MOUNT-HOLE-2.5MM";"Mount hole, 2.5mm inner diameter. Fits 14awg wiring great, 16awg a bit tight. Used in MOSFET board kit v1.2.";"";"";"";"";"";"";"";"";"";
"H3";"M+";"MOUNT-HOLE-2.5MM";"MOUNT-HOLE-2.5MM";"Mount hole, 2.5mm inner diameter. Fits 14awg wiring great, 16awg a bit tight. Used in MOSFET board kit v1.2.";"";"";"";"";"";"";"";"";"";
"H4";"M+";"MOUNT-HOLE-2.5MM";"MOUNT-HOLE-2.5MM";"Mount hole, 2.5mm inner diameter. Fits 14awg wiring great, 16awg a bit tight. Used in MOSFET board kit v1.2.";"";"";"";"";"";"";"";"";"";
"H0205";"UNPLATED_MOUNT_HOLE_3MM";"UNPLATED_MOUNT_HOLE_3MM";"UNPLATED_MOUNT_HOLE_3MM";"Unplated mount hole for Nerf Screws with 3mm (118.11 mill) diameter. Good if used near components that will be hand soldered so solder can't get on hole's copper plating";"";"";"";"";"";"";"";"";"";
"H0206";"UNPLATED_MOUNT_HOLE_3MM";"UNPLATED_MOUNT_HOLE_3MM";"UNPLATED_MOUNT_HOLE_3MM";"Unplated mount hole for Nerf Screws with 3mm (118.11 mill) diameter. Good if used near components that will be hand soldered so solder can't get on hole's copper plating";"";"";"";"";"";"";"";"";"";
"H0301";"M+";"MOUNT-HOLE-2.5MM";"MOUNT-HOLE-2.5MM";"Mount hole, 2.5mm inner diameter. Fits 14awg wiring great, 16awg a bit tight. Used in MOSFET board kit v1.2.";"";"";"";"";"";"";"";"";"";
"H308";"M-";"MOUNT-HOLE-2.5MM";"MOUNT-HOLE-2.5MM";"Mount hole, 2.5mm inner diameter. Fits 14awg wiring great, 16awg a bit tight. Used in MOSFET board kit v1.2.";"";"";"";"";"";"";"";"";"";
"J2";"POWER";"JST-XH-02-PIN-LONG-PAD";"JST-XH-02-PACKAGE-LONG-PAD";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";
"J3";"POT";"JST-XH-03-PIN-LONG-PAD";"JST-XH-03-PACKAGE-LONG-PAD";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";
"J4";"TRIGGER";"JST-XH-02-PIN-LONG-PAD";"JST-XH-02-PACKAGE-LONG-PAD";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";
"J5";"CYCLE CONTROL";"JST-XH-02-PIN-LONG-PAD";"JST-XH-02-PACKAGE-LONG-PAD";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";
"J6";"SELECT FIRE";"JST-XH-05-PIN-LONG-PAD";"JST-XH-05-PACKAGE-LONG-PAD";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";
"J7";"PUSHER MECH SEL";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"J8";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"J0206";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"J0208";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"J0209";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"J0210";"";"CONN_05";"1X05";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"Q301";"T2N7002AK";"MOSFET-NREFLOW";"SOT23";"N-Channel Mosfet";"";"";"";"";"";"";"";"";"";
"Q302";"SSM3J358RLFCT-ND";"MOSFET-P-SOT23";"SOT-23";"P-Channel MOSFET with integrated body diode";"";"";"";"";"";"";"";"";"";
"Q303";"PSMN1R5-30YLC";"PSMN1R5-30YLC";"TO127P600X120-5N";"PSMN1R5-30YLC";"";"";"";"";"";"";"";"";"";
"R100";"100k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R101";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R102";"2.2k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R103";"0";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R104";"0";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R201";"0";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"NO STUFF";
"R202";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"NO STUFF";
"R301";"100";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R302";"2.2k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R303";"2.2k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R304";"100";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R305";"100";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R306";"2.2k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R307";"0.01";"R-US_R2512";"R2512";"RESISTOR, American symbol";"";"";"";"";"";"2W";"";"";"";
"R401";"150";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R402";"150";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R403";"150";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R404";"300";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R405";"300";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R406";"165";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R407";"150";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"U2";"ARDUINO_NANO";"ARDUINO_NANO";"ARDUINO_NANO";"";"";"";"";"";"";"";"";"";"";
"U201";"IFX1763XEJV50";"IFX1763XEJV50";"PG-DSO-8";"IFX1763XEJV50";"";"";"";"";"";"";"";"";"";
